peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,coord,news
AMAD,Ama Dablam,6814,Climbed,1961.0,New Zealand,AMAD61101,"('27.8621001', '86.8604289')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
AMPG,Amphu Gyabjen,5630,Climbed,1953.0,UK,AMPG53101,"('27.8812212', '86.8687897')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
ANN1,Annapurna I,8091,Climbed,1950.0,France,ANN150101,"('28.5962553', '83.8270789')",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
ANN2,Annapurna II,7937,Climbed,1960.0,UK,ANN260101,"('28.5349707', '84.1218222')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
ANN3,Annapurna III,7555,Climbed,1961.0,India,ANN361101,"('28.5853509', '83.9891091')",https://www.theguardian.com/sport/2023/feb/11/cricket-india-australia-first-test-nagpur-ravichandran-ashwin-ravindra-jadeja
ANN4,Annapurna IV,7525,Climbed,1955.0,W Germany,ANN455101,"('28.5368932', '84.0835623')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
ANNE,Annapurna I East,8026,Climbed,1974.0,Spain,ANNE74101,"('-33.0000006', '27.8761869')",https://www.liverpoolecho.co.uk/news/uk-world-news/spain-turkey-france-update-travel-26210245
ANNM,Annapurna I Middle,8051,Climbed,1980.0,W Germany,ANNM80301,"('28.5110773', '83.6615219')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
ANNS,Annapurna South,7219,Climbed,1964.0,Japan,ANNS64301,"('28.5183959', '83.8063433')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
APIM,Api Main,7132,Climbed,1960.0,Japan,APIM60101,"('50.4653763', '4.1953511')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BARU,Baruntse,7152,Climbed,1954.0,New Zealand,BARU54101,"('27.7203406', '85.3611116')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
BAUD,Baudha,6672,Climbed,1970.0,Japan,BAUD70101,"('28.2721381', '85.6635329')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BHEM,Bhemdang Ri,6150,Climbed,1964.0,Japan,BHEM64101,"('27.692718', '82.95547918805183')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BHRI,Bhrikuti,6476,Climbed,1982.0,Japan,BHRI82101,"('10.4330167', '21.27055')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BOBA,Bobaye,6808,Climbed,1996.0,Slovenia,BOBA96301,"('27.7772801', '86.98151')",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
CHAM,Chamlang,7321,Climbed,1962.0,Japan,CHAM62101,"('30.3025938', '82.1282859')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHAN,Changla,6563,Climbed,2010.0,Japan,CHAN10301,"('35.4623305', '-80.6827327')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHMN,Chamar North,7165,Climbed,1953.0,New Zealand,CHMN53101,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
CHEO,Cheo Himal,6820,Climbed,1991.0,Japan,CHEO91301,"('28.0967613', '86.659654')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHOY,Cho Oyu,8188,Climbed,1954.0,Austria,CHOY54301,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
CHOB,Chobuje,6686,Climbed,1972.0,W Germany,CHOB72101,"('27.9029624', '86.7687987')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
CHOL,Cholatse,6423,Climbed,1982.0,USA,CHOL82101,"('27.9194539', '86.9819868')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
CHOP,Cho Polu,6700,Climbed,1984.0,Spain,CHOP84301,"('-12.8241485', '33.3069523')",https://www.liverpoolecho.co.uk/news/uk-world-news/spain-turkey-france-update-travel-26210245
CHUL,Chulu Central,6584,Climbed,1955.0,W Germany,CHUL55201,"(None, None)",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
CHUG,Chukyima Go,6258,Climbed,2014.0,Slovenia,CHUG14301,"(None, None)",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
CHUR,Churen Himal Central,7385,Climbed,1970.0,Japan,CHUR70301,"('28.7454053', '84.0228323')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHUW,Chulu West,6419,Climbed,1952.0,Japan,CHUW52301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TAPL,Taple Shikhar,6447,Climbed,1998.0,Japan,TAPL98301,"('28.024329', '86.9151856')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CTSE,Changtse,7583,Climbed,1982.0,W Germany,CTSE82301,"('30.3467133', '78.1783676')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
DHA1,Dhaulagiri I,8167,Climbed,1960.0,Switzerland,DHA160101,"('28.7631589', '83.3873786')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
DHA2,Dhaulagiri II,7751,Climbed,1971.0,Austria,DHA271101,"('28.7540263', '83.3771445')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
DHA3,Dhaulagiri III,7715,Climbed,1973.0,W Germany,DHA373301,"('28.7357489', '83.314379')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
DHA4,Dhaulagiri IV,7661,Climbed,1975.0,Japan,DHA475101,"('28.734057', '83.3605794')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DHA5,Dhaulagiri V,7618,Climbed,1975.0,Japan,DHA575101,"('28.7083897', '83.2731956')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DHA6,Dhaulagiri VI,7268,Climbed,1970.0,Japan,DHA670101,"('28.300303', '83.858681')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DHAM,Dhampus,6012,Climbed,1960.0,Austria,DHAM60101,"('28.2491141', '85.7479044')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
PEMK,Pemthang Karpo Ri,6865,Climbed,1955.0,Switzerland,PEMK55101,"(None, None)",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
DORJ,Dorje Lhakpa,6966,Climbed,1981.0,Japan,DORJ81301,"('27.9882393', '86.925017')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DRAN,Drangnag Ri,6757,Climbed,1995.0,Norway,DRAN95101,"('32.0426141', '110.7210616')",https://www.news18.com/news/football/delhi-court-issues-arrest-warrant-against-former-u-17-assistant-football-coach-alex-mario-ambrose-for-sexual-misconduct-7058701.html
EVER,Everest,8850,Climbed,1953.0,New Zealand,EVER53101,"('33.3052114', '126.246914')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
FANG,Fang,7647,Climbed,1980.0,Austria,FANG80101,"('28.3917215', '85.1270407')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
FIRW,Firnkopf West,6745,Climbed,1987.0,Austria,FIRW87301,"('28.3789024', '85.0551861')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
GAMA,Gama Peak,7187,Climbed,1970.0,Japan,GAMA70301,"('28.3452083', '85.0795779')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GAN1,Ganesh I,7422,Climbed,1955.0,Switzerland,GAN155301,"('28.3312446', '85.1628264')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
GAN3,Ganesh III,7043,Climbed,1979.0,Japan,GAN379301,"('28.3697277', '85.0614738')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GAN2,Ganesh II,7118,Climbed,1981.0,W Germany,GAN281302,"('28.1693908', '85.6785419')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
GAN4,Ganesh IV,7104,Climbed,1978.0,Japan,GAN478301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GAN5,Ganesh V,6770,Climbed,1980.0,Japan,GAN580101,"('28.605655', '83.9635144')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GAN6,Ganesh VI,6908,Climbed,2000.0,Japan,GAN600101,"('27.81040175', '86.32205896339681')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GANC,Ganchenpo,6378,Climbed,1971.0,USA,GANC71302,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
GAND,Gandharva Chuli,6248,Climbed,2013.0,Romania,GAND13101,"(None, None)",https://www.promotor.ro/stiri-auto/colectionarii-din-romania-aleg-tot-mai-des-masini-din-sua-un-chevrolet-bel-air-tocmai-a-fost-inmatriculat-19145400
GANG,Gangapurna,7455,Climbed,1965.0,W Germany,GANG65101,"(None, None)",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
GAUR,Gaurishankar,7135,Climbed,1979.0,US,GAUR79101,"(None, None)",https://www.liverpoolecho.co.uk/sport/football/football-news/how-sean-dyche-using-military-26194815
GHUN,Ghustang North,6529,Climbed,1962.0,UK,GHUN62301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
GHUS,Ghustang South,6465,Climbed,2019.0,France,GHUS18301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
MATA,Matathumba,5767,Climbed,1961.0,UK,MATA61101,"('50.437744', '-116.6197945')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
GHYM,Ghyuthumba Main,5806,Climbed,1953.0,Austria,GHYM53301,"('28.6741019', '83.275664')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
GIME,Gimmigela Chuli East,7007,Climbed,1993.0,Japan,GIME93301,"('28.2117364', '85.7736263')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GIMM,Gimmigela Chuli,7350,Climbed,1994.0,Japan,GIMM94301,"('28.0980314', '86.7448435')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GLAC,Glacier Dome,7168,Climbed,1964.0,Japan,GLAC64301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GURJ,Gurja Himal,7193,Climbed,1969.0,Japan,GURJ69301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GURK,Gurkarpo Ri,6889,Climbed,2007.0,France,GURK07301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
GYAC,Gyachung Kang,7861,Climbed,1964.0,Japan,GYAC64101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
GYAJ,Gyajikang,7074,Climbed,1994.0,Japan,GYAJ94301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LEOE,Leonpo Gang East,6733,Climbed,1955.0,UK,LEOE55101,"('63.67903', '-19.40535')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
HIME,Himalchuli East,7893,Climbed,1960.0,Japan,HIME60101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
HIML,Himlung Himal,7126,Climbed,1992.0,Japan,HIML92301,"('28.51', '83.85')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
HIMN,Himalchuli North,7331,Climbed,1985.0,S Korea,HIMN85302,"('28.843187', '83.4967752')",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
RANI,Rani Peak,6693,Climbed,1970.0,Netherlands,RANI70101,"(None, None)",https://www.cp24.com/news/ottawa-spending-2m-on-new-unmarked-graves-report-lacks-transparency-official-1.6268898
HIMW,Himalchuli West,7540,Climbed,1978.0,Japan,HIMW78101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
HIUP,Hiunchuli,6434,Climbed,1971.0,USA,HIUP71301,"('31.0911756', '77.3378327')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
HONG,Hongde,6556,Climbed,1962.0,Japan,HONG62101,"('27.8665878', '88.1669036')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
IMJA,Imjatse,6165,Climbed,1956.0,Switzerland,IMJA56101,"(None, None)",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
JAGD,Jagdula,5761,Climbed,2013.0,France,JAGD13101,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
JANU,Jannu,7711,Climbed,1962.0,France,JANU62101,"('24.2547409', '89.9114574')",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
